,Year,mt_CO2_global,kg_CO2_global,pc_CO2_average
0,1960,11064.131248000002,10.594594594594595,13.719936977740703
1,1961,11061.885846000001,10.543010752688172,13.804837347137395
2,1962,11385.687955999998,10.436170212765957,13.838856227388398
3,1963,11923.171792,10.386243386243386,14.295205644780248
4,1964,12430.081615000001,10.229166666666666,14.307196147744962
5,1965,12921.535815,10.234375,14.340536506342625
6,1966,13420.870930000001,10.239583333333334,14.305201835836728
7,1967,13774.912094,10.244791666666666,14.50839080790242
8,1968,14419.554844000002,10.25,14.63790869235906
9,1969,15257.565529,10.202072538860104,15.346885489298522
10,1970,16368.264721000003,10.102564102564102,15.629357803585899
11,1971,16943.679658,10.35490835930098,15.706618530391362
12,1972,17625.099832,10.299560903638083,15.708106455875898
13,1973,18458.330635,10.311192062774,16.092653286618273
14,1974,18423.531224000002,10.29451719718838,15.720078845034694
15,1975,18443.503208000002,10.28105437139509,15.407030455750727
16,1976,19346.8424,10.329378803419326,16.03778097642774
17,1977,19829.121388,10.29036721888304,15.607470941145426
18,1978,20499.274033,10.288884549321745,15.58454808042445
19,1979,21001.904552,10.294318250033106,15.653046702797361
20,1980,20928.866204000005,10.291487234350138,15.560998401738846
21,1981,20439.839033999997,10.184424617266554,14.9560988665351
22,1982,20341.079621999997,10.193282668052085,14.889520411691585
23,1983,20530.671032000002,10.176634849403149,14.484300518049192
24,1984,21080.674356,10.206078849269893,15.006519451825467
25,1985,21768.494488,10.223213824532408,15.250023961034533
26,1986,22035.509135999997,10.186794059539533,14.603545461963343
27,1987,22739.156532,10.190993305215807,14.639603657702535
28,1988,23536.523416,10.195268735690647,14.797979573242035
29,1989,23866.218532000003,10.208445970594244,15.035767887268392
30,1990,24198.908574,9.959077110239187,14.699546073435869
31,1991,24196.347148,9.911260075161325,14.47537501495825
32,1992,23956.117154,9.781846963632658,14.26245174255443
33,1993,24188.324312,9.781840707088689,14.377968937347214
34,1994,24323.97943,9.727424079522725,14.268335548879504
35,1995,24797.81289,9.726846961130166,14.2472080321185
36,1996,25448.406398,9.727460789932499,14.256180299234927
37,1997,25539.068079999997,9.721480447588513,14.290023672105722
38,1998,25427.461771000002,9.710867201422943,14.096399281749198
39,1999,25717.188883000003,9.710207355572482,14.13519182779386
40,2000,26395.613266,9.71866882421397,14.455950208383262
41,2001,26625.242653999998,9.674138871904285,14.452858266898806
42,2002,27163.095354000005,9.628421124405683,14.393137265605349
43,2003,28394.111166,9.635053477053347,14.517953451773074
44,2004,29606.071164,9.633386339723994,14.580789513030393
45,2005,30522.786476,9.632705865648397,14.620587880640016
46,2006,31455.525128,9.63123971043999,14.688633485323155
47,2007,32315.51367,9.630371910230707,14.759011333261235
48,2008,33010.28694800001,9.631566020223914,14.731976416489108
49,2009,32597.929848,9.631982072558001,14.493429629680598
50,2010,34147.251873999994,9.63413850084485,14.538243199399053
51,2011,35303.078244000004,9.6398518376456,14.506416857391404
52,2012,35813.827992000006,9.6488070499487,14.492322808078022
53,2013,35924.967904000005,9.647303031749983,14.399669625183591
54,2014,36225.855901999996,9.650763410691697,14.418706974116823
55,2015,36188.969071,9.656707690126964,14.505735996674682
56,2016,36307.427123,9.637661711325025,14.527607963767382
57,2017,36757.497208,9.639885879647348,14.585424594391172
