,Year,January,February,March,April,May,June,July,August,September,October,November,December
12,1990,1.268,0.747,-0.41100000000000003,-1.6130000000000002,-1.177,-1.7069999999999999,-3.117,-1.6740000000000002,0.039,3.6260000000000003,2.003,1.5590000000000002
13,1991,1.3259999999999998,0.807,-0.266,-1.02,-1.2819999999999998,-1.585,-3.127,-1.4080000000000001,-0.364,3.0839999999999996,2.092,2.127
14,1992,1.35,0.306,-0.043,-1.262,-1.2919999999999998,-1.186,-2.519,-1.857,0.71,1.9709999999999999,2.4,1.43
15,1993,1.689,0.096,0.065,-1.246,-1.765,-1.436,-2.7239999999999998,-2.015,0.41100000000000003,2.971,2.153,1.8880000000000001
16,1994,1.41,0.299,-0.11699999999999999,-1.034,-1.4469999999999998,-1.683,-2.533,-1.633,0.315,2.565,1.913,2.019
17,1995,0.904,0.42700000000000005,-0.02,-1.459,-1.571,-1.486,-2.992,-1.525,-0.188,3.645,2.024,1.849
18,1996,0.991,0.626,-0.249,-1.149,-1.104,-1.0859999999999999,-2.526,-1.5719999999999998,0.62,1.5759999999999998,1.5190000000000001,2.367
19,1997,1.182,0.6859999999999999,-0.191,-1.18,-1.53,-1.619,-2.612,-1.604,0.055,2.682,2.23,2.14
20,1998,1.4809999999999999,0.612,-0.508,-1.065,-1.4709999999999999,-2.157,-2.1919999999999997,-1.726,-0.10099999999999999,2.522,1.97,2.458
21,1999,1.075,0.708,0.114,-0.981,-1.374,-2.575,-2.0340000000000003,-2.3080000000000003,0.48700000000000004,2.95,1.6,1.966
22,2000,1.601,0.40700000000000003,-0.161,-0.983,-1.614,-1.525,-2.699,-1.8880000000000001,0.122,2.801,1.79,2.141
23,2001,1.419,0.8270000000000001,-0.33,-0.794,-1.679,-2.324,-2.213,-1.2429999999999999,-0.035,2.301,1.939,2.261
24,2002,1.486,0.479,-0.37799999999999995,-1.206,-1.3880000000000001,-1.486,-2.987,-1.9969999999999999,0.289,2.9019999999999997,2.276,1.9980000000000002
25,2003,1.406,0.647,-0.003,-1.569,-1.317,-1.781,-2.667,-1.669,-0.28300000000000003,2.9019999999999997,1.9269999999999998,2.329
26,2004,1.002,0.8320000000000001,-0.324,-1.4069999999999998,-1.2409999999999999,-1.367,-2.479,-2.2969999999999997,0.312,2.565,2.286,1.7919999999999998
27,2005,1.032,0.6659999999999999,-0.264,-0.703,-1.4369999999999998,-1.9780000000000002,-2.949,-1.639,-0.201,3.553,1.992,1.9
28,2006,0.833,0.534,-0.11800000000000001,-0.794,-1.4480000000000002,-2.0540000000000003,-2.411,-1.5330000000000001,-0.14,3.016,1.219,2.852
29,2007,1.295,0.45299999999999996,-0.386,-0.847,-1.197,-2.024,-3.5389999999999997,-2.029,-0.35100000000000003,3.7039999999999997,2.636,2.306
30,2008,1.577,0.718,-0.214,-1.232,-1.505,-1.974,-2.861,-2.4930000000000003,-0.099,4.22,2.015,1.807
31,2009,1.403,0.63,-0.086,-0.7140000000000001,-1.712,-1.963,-3.4010000000000002,-1.681,0.057999999999999996,2.904,2.48,2.19
32,2010,1.023,0.7609999999999999,0.423,-1.0659999999999998,-2.134,-2.6489999999999996,-2.373,-1.8,-0.01,2.926,2.219,2.134
33,2011,1.505,0.488,0.005,-0.795,-1.636,-2.354,-2.975,-2.009,0.134,3.43,2.407,2.312
34,2012,1.0190000000000001,0.888,0.254,-1.1079999999999999,-1.617,-2.915,-3.0180000000000002,-2.775,0.12300000000000001,3.8089999999999997,2.9010000000000002,2.29
35,2013,1.426,0.8,-0.177,-1.176,-1.247,-2.1719999999999997,-3.252,-1.69,0.158,3.241,2.2,1.8559999999999999
36,2014,1.3519999999999999,0.451,-0.039,-0.937,-1.426,-2.3569999999999998,-2.6860000000000004,-1.712,-0.032,3.427,2.084,2.041
37,2015,1.056,0.423,-0.102,-0.94,-1.626,-1.6030000000000002,-3.1660000000000004,-2.371,0.345,3.491,2.273,1.9809999999999999
38,2016,1.127,0.58,-0.188,-1.1159999999999999,-1.9040000000000001,-1.672,-2.695,-2.3819999999999997,0.674,1.9369999999999998,2.6069999999999998,2.782
39,2017,1.2109999999999999,0.613,-0.098,-0.8059999999999999,-1.3130000000000002,-2.38,-2.8939999999999997,-1.8980000000000001,0.203,2.9589999999999996,2.351,1.8419999999999999
40,2018,1.185,0.73,0.064,-0.9420000000000001,-1.633,-1.604,-3.2039999999999997,-1.847,-0.146,2.9419999999999997,3.037,1.61
41,2019,1.5730000000000002,0.5429999999999999,-0.42,-1.063,-1.479,-2.032,-3.2760000000000002,-1.703,-0.078,2.787,,
