internalTaxonId,scientificName,name,language,main
132523146,Hubbsina turneri,Mexclapique Michoacano,Spanish; Castilian,false
132523146,Hubbsina turneri,Highland Splitfin,English,true
10769,Ictalurus mexicanus,Bagre de Rio Verde,Spanish; Castilian,false
10769,Ictalurus mexicanus,Rio Verde Catfish,English,true
1117,Ameca splendens,Ameca-Kärpfling,German,false
1117,Ameca splendens,Lepkepontyocska,Hungarian,false
1117,Ameca splendens,Mexclapique Mariposa,Spanish; Castilian,false
1117,Ameca splendens,Schmetterlingskärpfling,German,false
1117,Ameca splendens,Butterfly Splitfin,English,true
11242,Lampsilis rafinesqueana,Neosho Mucket,English,false
11242,Lampsilis rafinesqueana,Neosho Pearlymussel,English,false
11242,Lampsilis rafinesqueana,Neosho Pearly Mussel,English,false
11249,Lampsilis abrupta,Pink Mucket,English,true
11250,Hamiota altilis,Fine-lined Pocketbook,English,false
11250,Hamiota altilis,Finelined Pocketbook,English,true
11256,Obovaria haddletoni,Haddleton Lampmussel,English,true
11479,Lemiox rimosus,Birdwing Pearlymussel,English,false
11785,Leptoxis taeniata,Painted Rocksnail,English,true
11797,Lepus castroviejoi,Liebre De Piornal,Spanish; Castilian,false
11797,Lepus castroviejoi,Lievre de Castroviejo,French,false
11797,Lepus castroviejoi,Broom Hare,English,true
11922,Pleuronaia dolabelloides,Slab-sided Naiad,English,false
11922,Pleuronaia dolabelloides,Slabside Pearlymussel,English,false
11922,Pleuronaia dolabelloides,Slab-sided Pearly Mussel,English,true
12137,Lithognathus lithognathus,Pignose Grunter,English,false
12137,Lithognathus lithognathus,Whitefish,English,false
12137,Lithognathus lithognathus,Erla,Spanish; Castilian,false
12137,Lithognathus lithognathus,Herrera Del Cabo,Spanish; Castilian,false
12137,Lithognathus lithognathus,Marbré Du Cap,French,false
12137,Lithognathus lithognathus,White Steenbras,English,true
12417,Lutjanus cyanopterus,Canteen Snapper,English,false
12417,Lutjanus cyanopterus,Cuban Snapper,English,false
12417,Lutjanus cyanopterus,Gray Snapper,English,false
12417,Lutjanus cyanopterus,Guasinuco,English,false
12417,Lutjanus cyanopterus,Cubera,Spanish; Castilian,false
12417,Lutjanus cyanopterus,Cubereta,Spanish; Castilian,false
12417,Lutjanus cyanopterus,Guasinuco,Spanish; Castilian,false
12417,Lutjanus cyanopterus,Pargo,Spanish; Castilian,false
12417,Lutjanus cyanopterus,Pargo Caballo,Spanish; Castilian,false
12417,Lutjanus cyanopterus,Pargo Cubera,Spanish; Castilian,false
12417,Lutjanus cyanopterus,Vivaneau Cubéra,French,false
12417,Lutjanus cyanopterus,Cubera Snapper,English,true
12695,Malaclemys terrapin,Diamond-backed Terrapin,English,false
12695,Malaclemys terrapin,Terrapin,English,false
12695,Malaclemys terrapin,Diamondback Terrapin,English,true
12696,Malacochersus tornieri,Crevice Tortoise,English,false
12696,Malacochersus tornieri,Soft-shelled Tortoise,English,false
12696,Malacochersus tornieri,Tornier's Tortoise,English,false
12696,Malacochersus tornieri,Kobe kama Chapati,Swahili,false
12696,Malacochersus tornieri,Kobe ya Mawe,Swahili,false
12696,Malacochersus tornieri,Tortue à Carapace Souple,French,false
12696,Malacochersus tornieri,Tortue de Tornier,French,false
12696,Malacochersus tornieri,Tortuga de Cuña,Spanish; Castilian,false
12696,Malacochersus tornieri,Pancake Tortoise,English,true
12800,Margaritifera marrianae,Alabama Pearl Shell,English,false
12800,Margaritifera marrianae,Alabama Pearlshell,English,true
12803,Margaritifera hembeli,Louisiana Pearlshell,English,false
12927,Medionidus parvulus,Coosa Moccasinshell,English,true
12930,Medionidus walkeri,Suwannee Moccasinshell,English,true
13013,Megupsilon aporus,Cachorrito Enano de Potosi,Spanish; Castilian,false
13013,Megupsilon aporus,Catarina Pupfish,English,true
1301,Anhydrophryne rattrayi,Hogsback Chirping Frog,English,false
1301,Anhydrophryne rattrayi,Hogsback Frog,English,false
1301,Anhydrophryne rattrayi,Rattray's Forest Frog,English,false
1301,Anhydrophryne rattrayi,Rattray's Frog,English,false
1301,Anhydrophryne rattrayi,Hogsback-kwetterpadda,Afrikaans,false
13145,Menidia conchorum,Key Silverside,English,true
136129,Telmatobius punctatus,Huánaco Water Frog,English,true
136503,Plecotus sardus,Oreillard Sarde,French,false
136503,Plecotus sardus,Orejudo Sardo,Spanish; Castilian,false
136503,Plecotus sardus,Sardinian Long-eared Bat,English,true
136769,Pipistrellus murrayi,Christmas Island Pipistrelle,English,true
136773,Uromys boeadii,Biak Giant Rat,English,true
14505,Neochanna burrowsius,Canterbury Mudfish,English,true
14506,Neochanna diversus,Black Mudfish,English,true
14507,Neochanna apoda,Hauhau,English,false
14507,Neochanna apoda,Mud Eel,English,false
14507,Neochanna apoda,Spring Eel,English,false
14507,Neochanna apoda,Hauhau,Maori,false
14507,Neochanna apoda,Brown Mudfish,English,true
14556,Neoplanorbis tantillus,Little Flat-top Snail,English,true
