internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
132523146,Hubbsina turneri,"Girardinichthys turneri Radda, 1984",Girardinichthys,turneri,"Radda, 1984",,
132523146,Hubbsina turneri,"Girardinichthys ireneae Radda & Meyer, 2003",Girardinichthys,ireneae,"Radda & Meyer, 2003",,
10769,Ictalurus mexicanus,"Amiurus mexicanus Meek, 1904",Amiurus,mexicanus,"Meek, 1904",,
11242,Lampsilis rafinesqueana,"Actinonaias rafinesqueana (Frierson, 1927)",Actinonaias,rafinesqueana,"(Frierson, 1927)",,
11250,Hamiota altilis,"Lampsilis altilis (Conrad, 1834)",Lampsilis,altilis,"(Conrad, 1834)",,
11256,Obovaria haddletoni,"Lampsilis haddletoni Athearn, 1964",Lampsilis,haddletoni,"Athearn, 1964",,
11479,Lemiox rimosus,"Conradilla caelata (Conrad, 1834)",Conradilla,caelata,"(Conrad, 1834)",,
11922,Pleuronaia dolabelloides,"Lexingtonia dolabelloides (Lea, 1840)",Lexingtonia,dolabelloides,"(Lea, 1840)",,
12137,Lithognathus lithognathus,"Pagrus lithognathus Cuvier, 1829",Pagrus,lithognathus,"Cuvier, 1829",,
12137,Lithognathus lithognathus,"Lithognathus capensis Swainson, 1839",Lithognathus,capensis,"Swainson, 1839",,
12137,Lithognathus lithognathus,"Pagellus lithognathus (Cuvier, 1829)",Pagellus,lithognathus,"(Cuvier, 1829)",,
12417,Lutjanus cyanopterus,"Lutjanus cynodon Poey, 1868",Lutjanus,cynodon,"Poey, 1868",,
12417,Lutjanus cyanopterus,"Mesoprion cyanopterus Cuvier, 1828",Mesoprion,cyanopterus,"Cuvier, 1828",,
12417,Lutjanus cyanopterus,"Mesoprion pargus Cuvier, 1828",Mesoprion,pargus,"Cuvier, 1828",,
12417,Lutjanus cyanopterus,"Lutjanus cubera Poey, 1871",Lutjanus,cubera,"Poey, 1871",,
12417,Lutjanus cyanopterus,"Lutjanus cianopterus (Cuvier, 1828)",Lutjanus,cianopterus,"(Cuvier, 1828)",,
12695,Malaclemys terrapin,"Testudo concentrica Shaw, 1802",Testudo,concentrica,"Shaw, 1802",,
12695,Malaclemys terrapin,"Testudo ocellata Link, 1807",Testudo,ocellata,"Link, 1807",,
