assessmentId,internalTaxonId,scientificName,code,name,international,national,other,subsistence
501662,11242,Lampsilis rafinesqueana,15,Sport hunting/specimen collecting,,,,true
501876,11249,Lampsilis abrupta,1,Food - human,,true,,
502085,11250,Hamiota altilis,15,Sport hunting/specimen collecting,,,,
504863,11922,Pleuronaia dolabelloides,15,Sport hunting/specimen collecting,,,,true
505458,12137,Lithognathus lithognathus,15,Sport hunting/specimen collecting,,true,,true
505458,12137,Lithognathus lithognathus,1,Food - human,,true,,true
506633,12417,Lutjanus cyanopterus,1,Food - human,true,true,,true
510583,12930,Medionidus walkeri,14,Research,,true,,
517865,136129,Telmatobius punctatus,2,Food - animal,,true,,true
517865,136129,Telmatobius punctatus,1,Food - human,,true,,true
519016,136773,Uromys boeadii,1,Food - human,,,,true
523186,137321,Pachysoma aesculapius,15,Sport hunting/specimen collecting,,,,
722547,155018,Sciades parkeri,1,Food - human,true,true,,true
976478,163141,Opisthoteuthis massyae,1,Food - human,true,,,
1009393,163448,Cycloderma aubryi,1,Food - human,,true,,true
1009393,163448,Cycloderma aubryi,13,"Pets/display animals, horticulture",true,,,
1107235,166035,Leptobotia elongata,13,"Pets/display animals, horticulture",true,true,,
1107235,166035,Leptobotia elongata,1,Food - human,,true,,true
1107712,166043,Luciocyprinus langsoni,1,Food - human,,true,,true
1117791,166184,Anguilla japonica,16,Establishing ex-situ production *,,,,
1117791,166184,Anguilla japonica,1,Food - human,true,true,,
1117791,166184,Anguilla japonica,3,Medicine - human & veterinary,true,true,,true
1186569,168449,Gymnostomus horai,1,Food - human,,true,,true
1277724,169514,Mastacembelus oatesii,1,Food - human,,,,true
1278462,169536,Schistura spiesi,13,"Pets/display animals, horticulture",true,,,
1281221,169975,Palinurus elephas,1,Food - human,true,true,,
1285017,170161,Cheimerius matsubarai,1,Food - human,,,,true
1285017,170161,Cheimerius matsubarai,15,Sport hunting/specimen collecting,,,,true
1287308,170173,Acanthopagrus vagus,15,Sport hunting/specimen collecting,,true,,true
